"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2020/12/31","526","530","524","530","5","0.95","31173.332"
"2020/12/30","516","525","514","525","10","1.94","46705.107"
"2020/12/29","515","517","513","515","0","0.00","20226.736"
"2020/12/28","512","515","509","515","4","0.78","19520.886"
"2020/12/25","514","515","510","511","1","0.20","12581.145"
"2020/12/24","511","512","508","510","1","0.20","15218.008"
"2020/12/23","508","511","506","509","0","0.00","18320.849"
"2020/12/22","512","516","509","509","-7","-1.36","25632.245"
"2020/12/21","512","517","508","516","6","1.18","35153.138"
"2020/12/18","508","512","507","510","2","0.39","40625.502"
"2020/12/17","515","515","508","508","-4","-0.78","39285.785"
"2020/12/16","509","515","507","512","8","1.59","53661.282"
"2020/12/15","507","510","504","504","-4","-0.79","43059.899"
"2020/12/14","512","513","508","508","-8","-1.55","30809.747"
"2020/12/11","517","517","505","516","4","0.78","51296.611"
"2020/12/10","511","515","510","512","-8","-1.54","43991.133"
"2020/12/09","521","524","520","520","-4","-0.76","46831.705"
"2020/12/08","514","525","509","524","10","1.95","41830.257"
"2020/12/07","512","515","506","514","11","2.19","45493.551"
"2020/12/04","498.5","505","497.5","503","6","1.21","54471.042"
"2020/12/03","499.5","499.5","495","497","-2","-0.40","36919.644"
"2020/12/02","499.5","500","493.5","499","9","1.84","60208.035"
"2020/12/01","489.5","490","483.5","490","9.5","1.98","38341.265"
"2020/11/30","493","493.5","480.5","480.5","-8.5","-1.74","149311.778"
"2020/11/27","487.5","492","486.5","489","0","0.00","35196.829"
"2020/11/26","489","493.5","488","489","2","0.41","31844.322"
"2020/11/25","495","495.5","487","487","-5","-1.02","47179.64"
"2020/11/24","499.5","500","491.5","492","-4.5","-0.91","38630.079"
"2020/11/23","494.5","498.5","492","496.5","8.5","1.74","43708.352"
"2020/11/20","486","490","486","488","-2","-0.41","35242.579"
"2020/11/19","499","499","490","490","-7","-1.41","47345.316"
"2020/11/18","490","497","486.5","497","11.5","2.37","56607.501"
"2020/11/17","502","506","485.5","485.5","1.5","0.31","75763.87"
"2020/11/16","470","484.5","469","484","22","4.76","83380.911"
"2020/11/13","459","462","456.5","462","4","0.87","31483.881"
"2020/11/12","463","463.5","457.5","458","1","0.22","57993.774"
"2020/11/11","448.5","457","448.5","457","6","1.33","40355.804"
"2020/11/10","452","454.5","448.5","451","-7.5","-1.64","36786.882"
"2020/11/09","458","460","454","458.5","6","1.33","43415.67"
"2020/11/06","455","455.5","450","452.5","1.5","0.33","32644.19"
"2020/11/05","451.5","451.5","445.5","451","1","0.22","36539.446"
"2020/11/04","444.5","451.5","443","450","9","2.04","37929.652"
"2020/11/03","439.5","443","438","441","5.5","1.26","31461.727"
"2020/11/02","433","435.5","428","435.5","3.5","0.81","34539.576"
"2020/10/30","437","437","432","432","-5","-1.14","49770.771"
"2020/10/29","436.5","439.5","435.5","437","-7","-1.58","43075.387"
"2020/10/28","445","447","443","444","-3","-0.67","26221.663"
"2020/10/27","447.5","448.5","445.5","447","-3","-0.67","31795.01"
"2020/10/26","455","455","450","450","-2","-0.44","15800.622"
"2020/10/23","458","458","451.5","452","-3","-0.66","18777.385"
"2020/10/22","450","455","449.5","455","2","0.44","25285.547"
"2020/10/21","453.5","456","451","453","2","0.44","29906.921"
"2020/10/20","455.5","457","451","451","-6.5","-1.42","26567.638"
"2020/10/19","453","457.5","451","457.5","8.5","1.89","34846.906"
"2020/10/16","451","456","448.5","449","-4","-0.88","48274.801"
"2020/10/15","456","456.5","450","453","-6","-1.31","49987.278"
"2020/10/14","460.5","461","457","459","-3","-0.65","52677.241"
"2020/10/13","465","465","456.5","462","2","0.43","46303.738"
"2020/10/12","458","462","457.5","460","7","1.55","67645.223"
"2020/10/08","450","454","448.5","453","10","2.26","60853.811"
"2020/10/07","435","445","435","443","3.5","0.80","44691.239"
"2020/10/06","441.5","442","437.5","439.5","7","1.62","36276.395"
"2020/10/05","438","438","431.5","432.5","-0.5","-0.12","33238.832"
"2020/09/30","430.5","435","430.5","433","2","0.46","28859.204"
"2020/09/29","432.5","435","428","431","-0.5","-0.12","42730.502"
"2020/09/28","427","431.5","424.5","431.5","7.5","1.77","34427.479"
"2020/09/25","427","428","421","424","1","0.24","41263.269"
"2020/09/24","425.5","429","423","423","-10.5","-2.42","82510.381"
