證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,6315479,674047631,106.35,107.05,106.30,106.70,0.6500,7927
0051,元大中型100,25690,1026162,39.85,40.00,39.85,39.90,0.2500,30
0052,富邦科技,1126837,105810332,94.20,94.30,93.50,93.70,0.2000,250
0053,元大電子,10080,515800,50.95,51.30,50.95,51.30,0.6000,11
0054,元大台商50,24000,611660,25.45,25.69,25.45,25.69,0.3900,5
0055,元大MSCI金融,693000,12296820,17.71,17.82,17.70,17.79,0.2100,214
0056,元大高股息,19648371,553989095,28.17,28.26,28.12,28.19,0.0700,10108
0057,富邦摩台,24050,1691560,70.45,70.60,70.30,70.30,0.4000,7
0061,元大寶滬深,692741,15480959,22.37,22.48,22.18,22.26,0.1000,262
006203,元大MSCI台灣,4003,199007,49.57,49.98,49.57,49.60,0.1700,6
006204,永豐臺灣加權,3000,193750,64.65,64.65,64.55,64.55,0.6500,2
006205,富邦上証,2568361,91701066,35.88,36.11,35.57,35.71,0.0800,323
006206,元大上證50,306839,11252049,36.70,36.90,36.34,36.43,-0.0700,129
006207,FH滬深,370071,10815452,29.36,29.50,29.06,29.15,0.0900,186
006208,富邦台50,1909068,116487329,60.90,61.25,60.85,61.00,0.2500,691
00625K,富邦上証+R,50000,416000,8.32,8.32,8.32,8.32,-0.0700,2
00631L,元大台灣50正2,5675544,389146475,68.40,69.00,68.05,68.55,0.4500,2221
00632R,元大台灣50反1,164504521,1329408644,8.09,8.11,8.05,8.09,-0.0300,13301
00633L,富邦上証正2,9061103,561386458,62.90,63.10,60.90,61.25,-0.4500,2077
00634R,富邦上証反1,1441000,6300320,4.37,4.40,4.32,4.37,0.0000,151
00635U,元大S&P黃金,2162417,57369015,26.56,26.60,26.48,26.53,0.4400,662
00636,國泰中國A50,888047,22620133,25.55,25.75,25.28,25.35,-0.0500,312
00636K,國泰中國A50+U,300,2646,8.84,8.84,8.81,8.81,-0.0700,2
00637L,元大滬深300正2,79162604,1918094398,24.59,24.66,23.81,23.96,-0.1100,7810
00638R,元大滬深300反1,1207000,10521280,8.67,8.79,8.66,8.78,-0.0100,239
00639,富邦深100,2407146,37579982,15.71,15.90,15.50,15.60,-0.0300,426
00640L,富邦日本正2,1435000,29854890,20.69,20.94,20.58,20.85,0.3000,228
00641R,富邦日本反1,481000,6212980,13.00,13.00,12.89,12.93,-0.0700,92
00642U,元大S&P石油,7254182,51979887,7.21,7.21,7.11,7.12,-0.1100,1426
00643,群益深証中小,1048124,19035211,18.20,18.38,17.98,18.00,-0.0800,248
00643K,群益深証中小+R,,,,,,,0.0000,
00645,富邦日本,348419,7528187,21.52,21.67,21.51,21.64,0.1900,40
00646,元大S&P500,1586288,48379641,30.51,30.59,30.37,30.45,0.1300,616
00647L,元大S&P500正2,804100,35207399,43.80,44.03,43.50,43.65,0.4800,272
00648R,元大S&P500反1,3690000,33484790,9.06,9.10,9.03,9.09,-0.0600,278
00650L,FH香港正2,1229000,30368950,24.80,24.97,24.50,24.58,0.2300,344
00651R,FH香港反1,404000,3223770,7.97,8.00,7.95,8.00,-0.0400,56
00652,富邦印度,367263,7829435,21.20,21.36,21.20,21.35,0.1700,179
00653L,富邦印度正2,5782000,145975050,25.30,25.39,25.12,25.27,0.3300,862
00654R,富邦印度反1,333000,3966300,11.98,11.98,11.87,11.92,-0.0900,73
00655L,國泰中國A50正2,6364124,293777771,46.83,46.93,45.35,45.62,-0.1800,1366
00656R,國泰中國A50反1,305000,2436980,7.92,8.05,7.90,8.01,0.0100,52
00657,國泰日經225,114103,3440024,29.97,30.21,29.97,30.10,0.3000,14
00657K,國泰日經225+U,100,1053,10.53,10.53,10.53,10.53,0.1400,1
